COUNTRY_WB,IMF_DEPENDENCE_RISK,RESERVE_ADEQUACY_RISK,MACROECONOMIC_RISK,CLIMATE_VULNERABILITY_RISK,MARKET_VULNERABILITY_RISK
Afghanistan,0.015381453409377641,-0.17802407166541484,0.22021612660181972,1.1161317053691662,0.29407606571585165
Albania,0.3319928291026508,0.08802370527781339,0.04525132463759513,-0.0890121431695487,-0.0014899527111995577
Algeria,-0.1952555184654059,-0.4029759832927254,-0.05602978935816846,0.20018275937649233,-0.15302666048923239
Andorra,-0.18968121779751276,-8.701705534286397e-05,-0.41764172310151537,-0.6241210900530949,-0.06326387995351275
Angola,0.051419516779760345,-0.1041685749354242,-0.017885897198931106,0.28883560881222664,0.1819420543413044
Antigua and Barbuda,-0.2331654168967197,0.203695934929562,0.23862724244646655,-0.4885223870325368,-0.11879209383244285
Argentina,0.316022217989725,0.05642277465330573,0.7531565552383912,0.655964380284078,0.028895127673844927
Armenia,0.3000623480820301,0.26171157968014364,-0.040540164309986054,-0.34424156959507757,-0.06466237122164062
Australia,-0.15916002938023585,-0.15634949713301702,-0.03521451037517876,1.1264277649246455,-0.12318604657220512
Austria,-0.13743012197738236,-0.11983530877315111,-0.05045378239576398,-0.08807873485954194,-0.12309598716562846
Azerbaijan,-0.1348335814309516,-0.221011412973785,-0.42746140911286806,-0.5129808437156413,-0.13560887601828003
"Bahamas, The",-0.23256113256346916,0.12492992837122392,0.22249700107767226,-0.6241210900530949,-0.1635346081420057
Bahrain,-0.16272702805722714,0.031151189843735688,-0.24712141972566576,-0.6241210900530949,-0.1674442386581475
Bangladesh,0.2526187630796125,-0.07119735468151758,-0.2386866730913719,1.3847569650144953,-0.14348891874420766
Barbados,-0.12232306550771814,0.14827797827321523,0.1952470437643966,-0.5197222654130031,-0.11897556053579986
Belarus,0.031029699239919613,0.19287559308992983,0.1792069863843691,-0.40688204926851607,0.06608883169238944
Belgium,-0.146520863050667,-0.1259759649733453,-0.03844144375614388,0.02936269666867287,-0.14599071876371236
Belize,-0.11149884702140275,-0.01165570557092348,0.02381691773767053,-0.3246965775070219,-0.20202858947363683
Benin,0.5870949099057787,-8.701705534286397e-05,-0.14796582101625,-0.12897156106053667,-0.1551353784070634
Bhutan,-0.12452337241155846,-0.08289977467162511,0.20540679324867978,-0.5190839370428686,-0.1683511916503573
Bolivia,-0.1633199100653024,-0.19238371773499183,-0.1363262742367363,-0.6241210900530949,-0.1462140018698558
