COUNTRY_WB,ML_Weight_Score,ML_Rank,RISK_TIER
Azerbaijan,-0.2526128267073143,1.0,Stable
United Arab Emirates,-0.24368218962360605,2.0,Stable
Iraq,-0.22980606115071966,3.0,Stable
Qatar,-0.216536848538278,4.0,Stable
Bolivia,-0.19924055526606055,5.0,Stable
Andorra,-0.194335977803127,6.0,Stable
Brunei Darussalam,-0.18905306965517693,7.0,Stable
Israel,-0.18506098785949776,8.0,Stable
Singapore,-0.18483821165974545,9.0,Stable
Kuwait,-0.18380416976824376,10.0,Stable
Saudi Arabia,-0.182095091796274,11.0,Stable
Switzerland,-0.1804924600620288,12.0,Stable
Timor-Leste,-0.17487572237515137,13.0,Stable
Norway,-0.17311381753045313,14.0,Stable
Algeria,-0.1728810912184284,15.0,Stable
Bahrain,-0.17225401807523275,16.0,Stable
Denmark,-0.17207105868295094,17.0,Stable
Sweden,-0.1689243633176,18.0,Stable
"Korea, Rep.",-0.16697563009896055,19.0,Stable
Netherlands,-0.16254899349837384,20.0,Stable
Trinidad and Tobago,-0.16175850128595792,21.0,Stable
Kiribati,-0.16136183142665605,22.0,Stable
Turkmenistan,-0.1561650906296367,23.0,Stable
Nauru,-0.15506357407212126,24.0,Stable
Malta,-0.15267520299171275,25.0,Stable
Malaysia,-0.14664869418430534,26.0,Stable
Guyana,-0.14582338165492045,27.0,Stable
Papua New Guinea,-0.1429454178037833,28.0,Stable
"Iran, Islamic Rep.",-0.1350124159528537,29.0,Stable
Eswatini,-0.1292894875429838,30.0,Stable
Uzbekistan,-0.12715272605398778,31.0,Stable
Marshall Islands,-0.1264233828738208,32.0,Stable
Serbia,-0.12639950250070384,33.0,Stable
United Kingdom,-0.12550078343685697,34.0,Stable
Slovak Republic,-0.11986017996446607,35.0,Stable
Russian Federation,-0.11539105529035469,36.0,Stable
Lithuania,-0.11415833403125916,37.0,Stable
Peru,-0.11247661870001928,38.0,Stable
Luxembourg,-0.11061257308046044,39.0,Stable
Finland,-0.10691873207675814,40.0,Stable
Poland,-0.10625384521633506,41.0,Stable
Austria,-0.10603218374932837,42.0,Stable
Gabon,-0.10537376064425971,43.0,Stable
